skolkod,andel_minst_e_hist1
93221031,"91,7"
17474377,"100,0"
74776778,"100,0"
18345915,"100,0"
68229719,"100,0"
61004230,"95,0"
71262305,"97,7"
55795961,"100,0"
84947634,"97,9"
23517336,"100,0"
48009865,"99,1"
97870412,"97,6"
68564903,"100,0"
82840198,"98,6"
18208087,"91,8"
89982804,"96,9"
19464342,"100,0"
60743463,"100,0"
32960825,"100,0"
43609520,"100,0"
41416934,"98,6"
97968599,"100,0"
21567982,"100,0"
91748148,"96,6"
49379603,..
80167319,..
42218661,"97,0"
73171934,..
83474173,"89,1"
91487291,..
21866405,"87,2"
74434644,"96,6"
42022406,"91,4"
88445871,"100,0"
65192707,"97,1"
18425335,"92,9"
93281974,"97,8"
23424275,"95,0"
43634528,"99,2"
36263479,"100,0"
56679384,"98,7"
30538202,"100,0"
19150273,"90,0"
69018222,"93,4"
25624692,"84,2"
88534520,"93,8"
12889940,"99,1"
16554575,"100,0"
34076477,"98,7"
54896448,"100,0"
25356960,"89,2"
64284020,"98,6"
98132436,"94,8"
53400472,"90,0"
60096875,"92,3"
97758137,"93,3"
26334561,"98,5"
40386043,"93,2"
29324709,"100,0"
26864271,"88,2"
59483268,"95,7"
33685428,"93,9"
32879845,"100,0"
88573795,"100,0"
20699742,"100,0"
21663998,"99,1"
20595770,"99,0"
82814120,"97,4"
45164827,"98,9"
10924758,"89,3"
34153869,"100,0"
88259298,"100,0"
73098153,"91,7"
44240250,"94,6"
17846181,"100,0"
75082798,"95,9"
23555409,"99,3"
91333138,"57,7"
30341162,"100,0"
39936461,"100,0"
72266906,"96,1"
27030026,"96,9"
12154972,"89,7"
16950252,"97,6"
34637764,"96,8"
19912478,"95,4"
73255276,"96,4"
15077883,"88,7"
48434184,"95,4"
58724424,"93,1"
95684185,"100,0"
51138448,"100,0"
19647256,"90,9"
56421429,"100,0"
39911065,"100,0"
17008320,"98,6"
56737496,"97,3"
88850910,"93,3"
93939982,"97,5"
25720752,"96,1"
55155562,"89,8"
31533003,"98,3"
31429031,"90,7"
16361868,..
23164911,"99,2"
24008049,"96,1"
19981611,"100,0"
54481243,"100,0"
36680097,"82,4"
87756916,"92,1"
59734510,"94,1"
19586169,"82,4"
24273261,"94,3"
95683850,"100,0"
59455288,"92,1"
82163292,"96,3"
25679488,"96,6"
25677996,"94,2"
89888648,"84,3"
90003262,"100,0"
88163512,"75,8"
35063170,"96,6"
31279294,"81,4"
36782335,"97,2"
23897040,..
20666515,"88,9"
37906565,"100,0"
67279303,"97,8"
21648755,"95,3"
11111710,"100,0"
90551279,"98,0"
93062368,"87,5"
69686851,"95,6"
49616977,"100,0"
54965510,"99,3"
90267145,"100,0"
72998905,"96,2"
84835666,"92,7"
25872338,..
54164490,"92,0"
69481650,"65,8"
20319353,"85,3"
92194545,"98,4"
88153340,"67,5"
94353434,"61,4"
59396229,"92,4"
95165649,"96,1"
64740897,..
78979604,..
69626109,"76,7"
10974852,..
85068812,"81,8"
78397312,"98,4"
36444853,"91,9"
15414001,"67,3"
38311488,"96,9"
16819383,"98,2"
89837629,"100,0"
12994441,"90,8"
53660780,"96,2"
88774402,"100,0"
75141151,"96,3"
61701709,"100,0"
61469192,"98,4"
84306392,"100,0"
28627819,"100,0"
30086854,"100,0"
26627862,"97,9"
48847282,"100,0"
72517762,"88,5"
79094701,"99,3"
38684438,"94,4"
31251822,"98,1"
90099336,..
96590873,"95,3"
35647481,"93,2"
39549479,"95,2"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
12052268,"96,3"
71597051,"100,0"
53231578,"98,9"
11274830,"88,9"
51321260,"82,8"
96279444,"98,6"
40690520,"99,5"
61880907,"97,6"
91011325,"100,0"
97382366,"83,3"
35006050,"100,0"
88886610,"100,0"
10638939,"82,2"
21505555,"97,5"
34336190,"100,0"
21052710,"99,2"
88556189,"22,4"
35236491,"95,1"
69739484,"93,0"
92887917,"98,7"
88834120,"100,0"
70066748,"97,4"
19207279,"100,0"
53640774,"97,5"
58502307,"100,0"
97177328,"98,0"
72127035,"100,0"
70969714,"94,3"
85003442,"100,0"
22752398,"92,5"
68734112,"100,0"
71922787,"98,1"
31843016,"100,0"
74148070,"100,0"
50696507,"81,5"
92507006,"99,0"
44653962,"92,4"
20100577,"98,9"
81993306,"94,7"
19051089,"100,0"
29097621,"83,9"
47264019,"100,0"
87764775,"94,4"
50198492,"99,3"
48438396,"100,0"
98052678,"98,2"
20099064,"97,5"
44341171,"86,2"
32671805,"89,4"
38448056,"100,0"
16313848,"92,0"
79606767,"97,0"
11294673,"98,1"
86327236,"91,8"
41745951,"100,0"
83137205,"97,7"
28398531,"89,0"
66335258,"100,0"
54172830,"90,9"
86310217,"92,9"
83085136,"100,0"
75458014,"100,0"
65136104,"94,1"
61826221,.
79033948,"93,8"
56330385,"88,5"
20228162,"100,0"
68240485,"100,0"
95046058,"94,7"
44392995,"92,9"
53462953,"96,0"
69241230,"87,0"
60730660,"100,0"
85544331,"100,0"
80327946,"88,8"
82592568,"100,0"
78875918,"98,0"
78023197,"84,8"
86385479,"96,5"
40991561,..
49862313,"96,2"
99838438,"95,8"
42859669,"91,4"
70923626,"92,1"
92905347,"95,7"
99592025,"98,7"
34247736,"99,2"
47550455,"88,9"
30329172,"97,9"
76877530,"82,4"
47046103,"86,0"
56664512,..
38167912,"96,7"
43826783,..
58125096,"94,4"
82914148,"100,0"
20620556,"100,0"
77839100,..
17173461,"92,9"
55535552,.
19560192,"86,5"
30468157,"96,7"
98053087,"98,6"
92533079,"95,9"
61528940,"95,7"
23681822,"97,8"
66861851,"99,2"
72206824,"100,0"
92858957,"95,4"
46660042,"84,4"
86296935,..
44113417,"96,1"
67783774,..
38917647,"100,0"
21363125,..
39555838,"95,7"
85214294,"88,1"
82084961,"87,7"
46162400,"86,7"
98369689,"87,1"
56529916,"81,7"
40810950,"74,1"
67279263,"99,2"
40037982,"95,6"
51210136,"98,3"
73829818,"95,4"
54395430,.
18881773,"100,0"
50908408,"100,0"
18594470,"93,7"
78295411,"98,7"
80686587,"94,0"
72232853,"96,3"
12279302,"95,7"
17849518,"76,9"
64205087,"91,3"
50500028,"100,0"
94570025,"79,2"
91984508,"88,2"
78659008,"86,1"
12448823,..
40667807,"93,5"
18091973,"95,3"
88466776,"100,0"
36539945,..
40634612,"100,0"
62439199,"90,0"
66132676,"97,7"
57942242,"97,4"
80762863,"91,4"
77688926,"99,0"
14508922,"100,0"
69629086,"95,6"
88624631,"100,0"
35390185,..
37358234,"88,9"
31657916,"83,3"
21008461,"100,0"
54606928,"97,1"
53893730,"99,1"
46241804,"100,0"
42573391,"100,0"
64574972,"100,0"
19741742,"92,1"
29032715,"98,9"
45830583,"100,0"
48931433,"95,5"
97270136,"96,6"
19909435,"100,0"
30530571,"98,6"
78839208,"98,5"
96024712,"98,8"
30458073,..
40829056,"91,7"
85800840,"95,9"
68920727,"98,0"
27115998,"96,9"
41867682,"92,3"
79516949,"95,8"
65662401,"94,7"
39583059,"83,7"
38645259,"96,9"
96684210,"98,3"
87207941,"97,2"
11673760,"98,1"
46574937,"98,6"
23836342,"100,0"
63791419,"93,7"
39805497,"100,0"
38400227,"98,0"
81619482,"93,4"
83829189,"90,2"
46145886,"100,0"
12395564,"100,0"
90006712,"94,1"
43649848,"100,0"
75344502,"95,0"
84247499,"98,6"
27041885,"100,0"
39149668,"98,6"
97064126,..
32580162,"78,3"
38233622,"100,0"
48722826,"94,2"
73063662,"95,2"
40766349,"96,6"
71571158,"93,8"
53691739,"100,0"
43251309,"100,0"
97596286,"89,3"
67554405,"98,8"
86473502,"100,0"
73944169,"100,0"
98239050,"100,0"
94455820,..
58368956,"95,2"
73567152,"88,6"
61547652,"100,0"
60209222,"96,6"
62104139,"100,0"
87034307,"98,3"
78872213,"100,0"
84286698,"96,2"
62490359,"92,3"
64725297,"79,3"
43362941,"82,6"
23350817,"91,7"
76860623,"100,0"
58191646,"98,9"
80405898,"98,4"
56021320,"100,0"
41358402,"100,0"
63179610,"95,7"
64569393,"93,2"
87262566,"87,8"
64160122,"100,0"
48217580,"95,8"
41844601,"88,3"
51620045,"91,0"
86888278,"94,7"
23457902,"92,9"
27597104,"100,0"
57397381,"93,8"
56947954,"98,7"
72022487,"97,8"
71512894,"98,4"
70969556,"85,0"
28248021,"97,4"
44417214,"95,4"
25025681,"98,5"
88776535,"92,9"
49488344,"100,0"
74408578,"91,3"
71043974,"99,3"
57777751,..
38732602,"100,0"
89807183,"96,0"
86724994,"97,6"
61161774,"100,0"
86158933,"97,3"
14102256,"98,8"
75082280,"100,0"
75914181,"90,3"
39302565,"91,7"
96818167,"100,0"
36072799,"92,3"
61432781,"94,4"
78287294,"100,0"
74316305,"88,6"
39096170,"100,0"
79527481,"97,8"
67300857,"100,0"
99279503,"82,9"
63653488,..
84476205,"100,0"
24544503,"94,7"
25392789,"99,1"
72109637,..
69240218,"100,0"
14057258,..
38460895,"100,0"
31199511,"100,0"
12934438,"99,5"
43313366,"98,4"
86787111,"95,7"
97868185,"100,0"
81551726,"72,2"
77823650,"89,5"
37550979,"95,0"
52634142,"87,1"
76195214,"98,5"
54839753,..
32705515,"98,2"
60214465,"94,6"
70137084,"86,4"
82002016,"95,5"
21901328,"94,7"
23306658,"98,3"
57350392,..
97535124,"100,0"
11102578,"99,0"
69306209,"93,7"
92651253,"85,7"
31740319,"94,6"
10129345,"98,9"
17944628,"99,2"
82826083,"100,0"
94468610,"94,6"
94090461,"97,8"
12954099,"100,0"
80931789,"92,1"
84098842,"100,0"
90473340,"100,0"
26167236,"98,2"
69807202,"97,3"
64648904,"100,0"
75939593,"99,7"
63035915,"93,4"
26324896,"100,0"
56639389,"99,7"
95700485,"100,0"
51449748,"95,9"
28267726,"100,0"
28848709,"85,0"
12613085,"98,0"
53896162,"98,6"
17779637,"100,0"
11185244,"82,9"
56211717,"85,0"
66824652,"95,7"
49168016,"96,6"
32042066,"96,2"
50821167,"100,0"
71929526,"96,8"
92814975,"100,0"
60873719,"98,8"
28085125,"100,0"
28770304,"78,4"
21938183,"98,6"
78986228,.
71472793,"96,8"
64123241,"93,3"
69063711,"100,0"
77609073,"82,7"
35894996,"100,0"
12926770,"100,0"
17119840,"57,6"
68748767,"77,7"
23548714,"93,7"
48593439,"95,0"
91773491,"94,3"
30361243,"99,7"
25596917,"99,2"
65722876,"96,2"
20984584,..
52129378,"93,2"
65381163,"95,7"
98541468,..
31155312,"78,0"
25648215,"95,8"
61823258,"95,8"
84424083,"100,0"
39178171,"96,6"
49231191,"97,9"
78231062,"100,0"
79994304,..
10481541,"95,1"
68006362,"97,5"
11608031,"86,3"
86762103,"92,9"
68381790,"90,4"
13006857,"100,0"
76007769,"82,1"
16956086,"93,0"
58187973,"100,0"
88894245,"100,0"
31870541,"98,7"
71160225,"100,0"
67752682,"100,0"
47884009,"83,9"
44672598,"100,0"
75340089,"100,0"
36670439,"88,5"
22220001,"88,1"
31822012,"95,8"
83161201,"100,0"
15100079,..
55421481,..
99356671,"82,4"
16702464,"91,3"
71353314,..
29449669,"94,4"
62855448,"98,1"
36252055,"98,6"
91812793,"100,0"
14355031,"93,3"
72891848,"81,0"
46611859,"95,0"
58907711,"100,0"
68285560,"99,3"
58544422,"100,0"
65150019,"97,2"
31796890,..
22426680,"92,3"
83805032,"75,9"
48862305,"92,6"
32887559,"91,3"
71541108,"97,5"
53832505,"100,0"
47537928,"96,6"
69471748,"91,3"
49750031,"100,0"
76485705,"98,2"
93239262,"100,0"
25745773,"92,8"
99976753,"100,0"
14278480,"69,4"
75575321,"100,0"
28023078,"96,9"
43284031,"92,8"
13963517,"100,0"
24194577,..
26267406,"100,0"
31255918,"100,0"
51955293,"98,9"
57690933,"100,0"
35035671,"82,4"
12130801,"97,6"
51736304,"93,8"
53180719,"100,0"
27489137,"100,0"
15609112,"100,0"
44285075,"97,1"
60424371,"97,1"
95785055,"100,0"
68655578,"68,0"
17062663,"96,4"
68741484,"97,8"
56267421,"94,4"
34990065,"53,6"
37054246,"98,6"
39199869,"100,0"
62216381,"87,8"
31179045,"98,6"
72421673,"93,2"
15763669,..
59655752,"94,2"
88750078,"95,9"
41878314,..
41555549,"94,7"
32003298,"100,0"
22383788,"100,0"
85459854,"96,1"
81876614,"98,3"
18711877,"100,0"
67071618,"100,0"
75324351,"100,0"
61229217,"95,8"
58929357,"100,0"
42517257,"90,6"
70376604,"92,4"
59575030,"100,0"
93503103,"100,0"
18617410,"97,3"
41697930,"97,6"
28025244,"95,6"
17184072,"100,0"
40338843,"100,0"
77440824,"96,2"
71069359,"100,0"
86896907,"100,0"
14292382,"95,5"
51981332,"100,0"
87859089,"93,2"
54764253,"89,4"
98908403,"96,2"
16493131,"99,5"
41119610,"100,0"
83272868,"98,8"
11526364,"100,0"
48304166,"78,7"
24982097,"94,4"
45552626,"94,8"
50906954,.
97104132,"91,7"
16748680,"98,3"
68597767,"100,0"
27964873,"88,9"
30706655,"85,0"
65674821,"96,8"
92332557,"94,0"
46332927,"100,0"
78690637,"91,6"
24653673,"85,7"
38048202,"96,5"
90990441,"93,8"
86319615,"100,0"
87303004,"100,0"
97835550,"95,5"
22446331,"83,8"
26671095,"93,9"
42911621,"94,8"
40575001,"89,5"
75027822,"96,9"
26508763,"96,1"
14504503,"100,0"
21850904,"100,0"
65320354,"100,0"
77544055,"94,4"
49112879,"96,0"
30279258,"100,0"
16198647,"98,6"
12496135,..
76903284,"99,4"
68649663,"91,9"
43623146,..
49141105,"90,4"
15870428,"72,9"
26646080,"98,5"
26750052,"100,0"
18974693,"99,3"
26996566,"100,0"
27704246,"94,9"
81997762,"95,1"
28967085,..
69747871,..
70119254,..
31151740,"100,0"
79346084,"95,4"
34222422,"100,0"
84230226,..
42060237,"75,0"
89816391,"95,2"
14448619,"99,1"
12546590,"96,9"
43565270,"96,2"
77176811,"100,0"
52791537,"99,2"
85152591,"100,0"
85819857,"100,0"
40600798,"100,0"
52942981,"97,6"
54117171,"100,0"
48120273,"100,0"
33233228,..
94167577,"89,4"
27023528,"94,7"
53903798,"93,7"
85782695,"100,0"
98815582,"97,3"
97770837,"94,0"
21312503,"100,0"
69650864,"100,0"
59581397,"95,8"
14926020,"84,2"
41938272,"100,0"
29423248,"98,0"
76054399,"98,5"
33132452,"86,9"
56942970,..
60142020,..
70811222,"100,0"
17911161,"94,6"
35084976,"100,0"
25525759,.
77632411,"100,0"
56653353,"79,2"
49068301,"98,2"
59898194,"100,0"
38195284,"100,0"
97510495,"97,1"
89461767,"98,7"
94717858,"98,2"
53760158,"100,0"
78422467,"98,0"
37802196,..
38683336,"100,0"
36288955,"99,2"
74812809,"97,8"
88839172,"98,7"
48412612,"98,6"
95618280,"96,2"
75075402,"99,1"
26326048,"94,2"
37839488,"92,7"
46256929,"92,1"
83374651,"100,0"
59796774,"100,0"
17675502,"94,7"
75600007,"90,0"
73812226,"91,4"
30762346,..
82964090,"100,0"
88955893,"100,0"
15278518,"97,2"
15390992,"99,2"
63943560,"97,9"
85516596,"90,7"
31998226,..
38236800,"56,3"
16784385,"100,0"
59026584,"96,5"
79829846,"97,6"
89963319,..
24339566,"98,8"
20061769,"100,0"
65458415,..
95154882,"92,9"
52333875,"89,8"
24663703,..
28519815,"91,5"
65666808,"85,7"
69543519,"96,3"
24397215,"93,2"
30677562,"97,5"
85054102,"90,5"
87274273,"87,5"
89693952,.
24759907,"84,0"
78433202,"89,8"
41631104,"81,3"
35366805,"98,2"
31315191,"100,0"
80357110,"87,0"
42775003,"100,0"
56670842,"100,0"
89370947,"100,0"
18451445,..
48555205,"100,0"
31313926,"96,6"
30312720,"98,8"
32116280,"98,9"
57143976,"100,0"
93367005,"94,7"
53175499,"100,0"
64388538,"100,0"
52153758,"100,0"
16501673,"97,4"
26298615,"73,9"
22116645,"100,0"
99755443,"100,0"
30167976,"100,0"
50104466,"100,0"
28004794,..
32071849,"100,0"
79845033,"96,5"
41099519,"97,3"
59386837,"98,6"
21627442,"98,2"
17276047,"92,5"
73217812,"81,6"
21382451,"98,8"
48244956,"100,0"
36769815,"100,0"
16931486,"81,0"
92489953,"96,3"
43873969,"99,4"
55825382,"100,0"
19306558,"100,0"
35301145,"95,0"
24993048,"92,0"
70132092,"79,7"
65034473,..
13084253,"93,1"
32321364,"100,0"
59942080,"100,0"
66273269,"95,0"
82888663,"94,9"
11275959,"100,0"
58518163,"100,0"
50615280,"100,0"
19035583,"94,7"
27993549,"96,6"
37912396,"97,7"
45593337,"96,1"
90312942,"92,9"
10226870,"100,0"
19839859,"76,9"
80280597,..
67628478,"100,0"
37517404,"100,0"
29159460,"100,0"
32057701,"100,0"
43601850,"97,0"
30615080,"100,0"
89630851,"100,0"
25178582,"92,8"
70543431,"100,0"
23476801,..
86351879,"92,0"
56041144,"98,1"
14586562,..
74322969,"89,3"
90260899,"98,6"
69302313,"100,0"
31057219,"98,2"
27079521,"99,0"
33572033,"93,8"
64579522,"95,2"
65234368,"96,8"
34381901,"91,1"
55150847,"99,0"
90076461,"99,0"
96414537,"96,8"
53069733,"98,0"
99394620,"100,0"
95368476,"100,0"
14853321,"92,2"
76448076,"93,9"
31537066,"100,0"
86488203,"95,7"
25156286,"91,4"
28081446,"97,8"
21400668,"90,5"
92949043,"100,0"
92818240,"76,4"
84329061,"99,0"
71969230,"95,2"
91048178,"96,5"
82718660,"100,0"
76942525,"84,6"
12399380,"100,0"
31486865,"99,7"
97265732,"100,0"
10373112,..
61720981,"99,3"
25698509,"94,7"
50424828,"96,1"
82931004,"92,9"
83584125,"100,0"
95024660,"97,2"
32263814,"94,7"
16496466,..
12075195,"62,5"
62300682,"78,9"
47393891,"96,0"
48414975,"100,0"
65265211,"89,7"
11533776,"96,0"
47108751,..
97191332,"100,0"
71938440,"78,6"
28829503,"100,0"
22811839,"85,2"
33205596,"100,0"
99622695,..
19930101,"100,0"
60727136,"100,0"
45132264,"100,0"
61647360,..
98651664,"100,0"
33657492,"89,5"
61622991,"93,1"
66644568,"91,7"
93659517,"94,7"
79309485,"98,9"
61175914,"94,1"
73316818,"100,0"
37078868,..
27859889,"92,3"
16130958,"97,1"
29161632,..
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"100,0"
63451147,"100,0"
51131594,"100,0"
89680395,"100,0"
53696633,"100,0"
27440210,"97,9"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"100,0"
17812651,"100,0"
23544320,"98,8"
57668673,"86,4"
69040241,"100,0"
63993414,"100,0"
49136871,..
91905819,"100,0"
20855811,"93,7"
54882637,"100,0"
53923398,"92,7"
74560191,"100,0"
47844862,"98,8"
22239675,"90,5"
72984079,"94,5"
36480690,"97,4"
24787883,"100,0"
32995170,"97,2"
52048443,"95,7"
61674097,"100,0"
32550660,"100,0"
93488613,"100,0"
45600034,"100,0"
59599256,"97,4"
69865450,"96,0"
31112935,"93,3"
26957025,"100,0"
90509211,"96,0"
43277545,"94,6"
37316242,"92,0"
20173336,"87,9"
49872493,"93,1"
39147056,"94,3"
11953769,"100,0"
28646435,"92,0"
50393060,"95,3"
85788659,"86,7"
95340745,"90,9"
59521477,"90,1"
92442684,"78,3"
66095163,"94,1"
38544187,"91,5"
54599691,"96,7"
54004368,"98,0"
54467211,"86,7"
23517683,"100,0"
31975673,"100,0"
82251333,"100,0"
99864908,"98,1"
27106031,"95,8"
59463950,"98,5"
63931325,"96,1"
57391913,"96,0"
75374280,"100,0"
46148350,"90,9"
50133877,"91,7"
49868916,"98,6"
74919147,"100,0"
90240730,"94,8"
84908877,"87,1"
78389879,"96,0"
24277564,"82,9"
88956420,..
44412461,"100,0"
34002355,"84,6"
36355200,"98,8"
96920524,"100,0"
18217765,"100,0"
60919765,..
14677676,"93,9"
96152872,"95,7"
77835341,"100,0"
70803636,"98,3"
49576295,"100,0"
66028861,"100,0"
23797825,"91,9"
45293715,"98,5"
44738639,"81,3"
77712952,"91,9"
92009807,"84,6"
10433896,"99,1"
10342448,"95,7"
43154449,"94,7"
49170638,"100,0"
46379730,"100,0"
25379974,"95,5"
98032567,..
96194948,"92,6"
25955541,"95,8"
88025221,"97,4"
18042101,"100,0"
14799321,"96,6"
56041699,"79,4"
45111086,"86,7"
70955448,"99,4"
68824244,"95,1"
90685868,"98,4"
24501884,"90,7"
46707989,"100,0"
46986216,"98,5"
67924816,"100,0"
92805465,"96,6"
56084099,"89,5"
80711021,"91,4"
17648596,"89,1"
16720048,"98,5"
13960635,"100,0"
39341381,..
61176909,"100,0"
43479922,"100,0"
60088179,"86,9"
28391147,"98,5"
29209307,"100,0"
21778322,"96,2"
31380193,"100,0"
90290154,"93,3"
25847233,"88,7"
62612992,"94,1"
85485803,"95,8"
92816527,"95,3"
16848652,"100,0"
88429477,"97,9"
94975733,"100,0"
56802300,"100,0"
15149235,"98,7"
77379848,"100,0"
13981977,"100,0"
24538846,"100,0"
36886750,"94,4"
67422309,"45,7"
67058407,"88,6"
34421265,"95,2"
15791044,"100,0"
65392939,"99,1"
98696836,"97,4"
82160887,"96,3"
23175129,..
64908550,"100,0"
77358716,"100,0"
49739986,"94,5"
29225010,"96,1"
92192566,"100,0"
56886667,"99,4"
33249781,"100,0"
64648566,"97,4"
18691102,"76,9"
70302356,"100,0"
65421426,"98,7"
62394916,"100,0"
67908927,"95,8"
72071234,"99,4"
24349146,"96,7"
83605345,"95,2"
15933512,"97,2"
12198363,..
47692481,"78,3"
64693272,"77,8"
18072172,"100,0"
65833454,"96,2"
85188855,"82,6"
11341077,"100,0"
39528347,"88,9"
34988313,"98,9"
85473846,"91,9"
29744774,..
89690587,"89,4"
28045567,"97,5"
20768651,"94,7"
32239920,"96,9"
98781765,"97,1"
38880984,"96,8"
28872974,"100,0"
87112995,"96,4"
18686599,"98,2"
93779220,"100,0"
77797484,"97,1"
53279140,"100,0"
80785976,"92,9"
47559319,"94,1"
21532545,"95,7"
56187883,"89,7"
20752831,"100,0"
51023367,"93,5"
34739511,"100,0"
95069937,"100,0"
52690153,"93,8"
74776778,"100,0"
18345915,"100,0"
68229719,"100,0"
61004230,"93,9"
71262305,"97,1"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"99,1"
82840198,"100,0"
18208087,"100,0"
89982804,..
19464342,"100,0"
60743463,"100,0"
32960825,"100,0"
43609520,"100,0"
97968599,"100,0"
91748148,"96,6"
42218661,"97,0"
74434644,"98,4"
42022406,"92,9"
65192707,"97,1"
43634528,"99,2"
36263479,"100,0"
56679384,"98,7"
30538202,"100,0"
19150273,"90,9"
69018222,"93,4"
12889940,"99,1"
16554575,.
34076477,"98,7"
54896448,"100,0"
64284020,..
53400472,"90,0"
97758137,"93,3"
26334561,"99,4"
40386043,"97,8"
59483268,"94,9"
33685428,"100,0"
32879845,"100,0"
88573795,..
20699742,"100,0"
21663998,"99,1"
20595770,"99,0"
82814120,"97,0"
45164827,"98,9"
10924758,"97,3"
34153869,"100,0"
88259298,"100,0"
17846181,"100,0"
