skolkod,andel_minst_e_idr1
93221031,"86,1"
17474377,"100,0"
74776778,"94,6"
18345915,"100,0"
68229719,"97,3"
61004230,"95,0"
71262305,"98,8"
55795961,"100,0"
84947634,"91,7"
23517336,"100,0"
48009865,"93,9"
97870412,"92,9"
68564903,"100,0"
82840198,"97,1"
18208087,"98,6"
89982804,"100,0"
19464342,"92,6"
60743463,"100,0"
32960825,"100,0"
43609520,"86,4"
41416934,"97,2"
97968599,"100,0"
21567982,"100,0"
91748148,"98,9"
49379603,..
80167319,..
42218661,"100,0"
73171934,..
83474173,"93,5"
91487291,..
21866405,"94,9"
74434644,"98,3"
42022406,"96,3"
88445871,"95,1"
65192707,"100,0"
18425335,"90,5"
93281974,"88,9"
23424275,"96,7"
43634528,"100,0"
36263479,"100,0"
56679384,"97,4"
30538202,"100,0"
19150273,"96,7"
69018222,"96,1"
25624692,"100,0"
88534520,"100,0"
12889940,"97,2"
16554575,"100,0"
34076477,"99,3"
54896448,"100,0"
25356960,"87,8"
64284020,"94,4"
98132436,"92,2"
53400472,"95,0"
60096875,"92,3"
97758137,"98,3"
26334561,"98,5"
40386043,"96,8"
29324709,"100,0"
26864271,"94,1"
59483268,"95,7"
33685428,"97,0"
32879845,"100,0"
88573795,"100,0"
20699742,"100,0"
21663998,"100,0"
20595770,"97,1"
82814120,"98,7"
45164827,"100,0"
10924758,"85,7"
34153869,"98,8"
88259298,"100,0"
73098153,"83,3"
44240250,"100,0"
17846181,"97,4"
75082798,"90,5"
23555409,"97,9"
91333138,"96,2"
30341162,"94,3"
39936461,"85,2"
72266906,"96,9"
27030026,"100,0"
12154972,"100,0"
16950252,"98,4"
34637764,"93,5"
19912478,"100,0"
73255276,"100,0"
15077883,"85,6"
48434184,"96,3"
58724424,"93,1"
95684185,"100,0"
51138448,"96,4"
19647256,"100,0"
56421429,"98,0"
39911065,"100,0"
17008320,"100,0"
56737496,"94,7"
88850910,"86,7"
93939982,"95,0"
25720752,"99,0"
55155562,"95,7"
31533003,"98,3"
31429031,"97,7"
16361868,..
23164911,"100,0"
24008049,"100,0"
19981611,"100,0"
54481243,"90,9"
36680097,"94,1"
87756916,"84,2"
59734510,"79,4"
19586169,"91,2"
24273261,"94,3"
95683850,"100,0"
59455288,"89,5"
82163292,"94,4"
25679488,"98,9"
25677996,"92,3"
89888648,"100,0"
90003262,..
88163512,"100,0"
35063170,"96,6"
31279294,"83,7"
36782335,"93,7"
23897040,..
20666515,"98,1"
37906565,"100,0"
67279303,"100,0"
21648755,"96,2"
11111710,"97,4"
90551279,"93,7"
93062368,"75,0"
69686851,"95,6"
49616977,"93,9"
54965510,"98,3"
90267145,"100,0"
72998905,"96,2"
84835666,"100,0"
25872338,..
54164490,"96,0"
69481650,"78,9"
20319353,"100,0"
92194545,"100,0"
88153340,"85,0"
94353434,"80,7"
59396229,"83,3"
95165649,"98,0"
64740897,..
78979604,..
69626109,"81,4"
10974852,..
85068812,"93,9"
78397312,"99,0"
36444853,"96,4"
15414001,"98,2"
38311488,"100,0"
16819383,"100,0"
89837629,"96,1"
12994441,"84,6"
53660780,"95,2"
88774402,"100,0"
75141151,"98,8"
61701709,"100,0"
61469192,"95,2"
84306392,"100,0"
28627819,"95,1"
30086854,"97,5"
26627862,"97,9"
48847282,"96,7"
72517762,"100,0"
79094701,"99,3"
38684438,"95,8"
31251822,"88,6"
90099336,..
96590873,"94,1"
35647481,"98,6"
39549479,"97,6"
73147554,"100,0"
65752105,..
69983740,"100,0"
66491596,"100,0"
12052268,"89,9"
71597051,"100,0"
53231578,"98,9"
11274830,"98,6"
51321260,"91,4"
96279444,"94,4"
40690520,"100,0"
61880907,"100,0"
91011325,"93,3"
97382366,"88,5"
35006050,"100,0"
88886610,"88,9"
10638939,"75,3"
21505555,"99,2"
34336190,"100,0"
21052710,"100,0"
88556189,"91,8"
35236491,"98,4"
69739484,"83,1"
92887917,"100,0"
88834120,"100,0"
70066748,"100,0"
19207279,"100,0"
53640774,"99,2"
58502307,"100,0"
97177328,"85,7"
72127035,"96,1"
70969714,"96,2"
85003442,"97,3"
22752398,"90,6"
68734112,"100,0"
71922787,"100,0"
31843016,"70,6"
74148070,"95,3"
50696507,"100,0"
92507006,"100,0"
44653962,"95,5"
20100577,"97,9"
81993306,"94,7"
19051089,"100,0"
29097621,"80,6"
47264019,"88,9"
87764775,"66,7"
50198492,"99,3"
48438396,"82,9"
98052678,"100,0"
20099064,"97,5"
44341171,"93,1"
32671805,"93,6"
38448056,"86,7"
16313848,"95,0"
79606767,"92,4"
11294673,"100,0"
86327236,"100,0"
41745951,"100,0"
83137205,"97,7"
28398531,"100,0"
66335258,"100,0"
54172830,"93,2"
86310217,"85,7"
83085136,"100,0"
75458014,"88,5"
65136104,"82,4"
61826221,.
79033948,"95,4"
56330385,"78,7"
20228162,"100,0"
68240485,"95,6"
95046058,"100,0"
44392995,"96,9"
53462953,"97,6"
69241230,"82,6"
60730660,"100,0"
85544331,"100,0"
80327946,"96,9"
82592568,"100,0"
78875918,"99,3"
78023197,"97,8"
86385479,"98,2"
40991561,..
49862313,"97,1"
99838438,"95,8"
42859669,"91,4"
70923626,"96,8"
92905347,"95,7"
99592025,"99,6"
34247736,"99,2"
47550455,"93,2"
30329172,"95,8"
76877530,"94,1"
47046103,"98,0"
56664512,..
38167912,"93,3"
43826783,..
58125096,"91,1"
82914148,"90,9"
20620556,"100,0"
77839100,..
17173461,"92,9"
55535552,.
19560192,"96,2"
30468157,"100,0"
98053087,"91,9"
92533079,"98,0"
61528940,"98,3"
23681822,"98,9"
66861851,"100,0"
72206824,"96,2"
92858957,"99,3"
46660042,"88,3"
86296935,..
44113417,"97,7"
67783774,..
38917647,..
21363125,..
39555838,"100,0"
85214294,"97,6"
82084961,"99,1"
46162400,"95,6"
98369689,"90,3"
56529916,"98,3"
40810950,"96,3"
67279263,"100,0"
40037982,"95,6"
51210136,"99,2"
73829818,"96,9"
54395430,.
18881773,"71,4"
50908408,"100,0"
18594470,"97,9"
78295411,"100,0"
80686587,"100,0"
72232853,"98,8"
12279302,"92,6"
17849518,"100,0"
64205087,"96,4"
50500028,"100,0"
94570025,"100,0"
91984508,"98,5"
78659008,"91,7"
12448823,..
40667807,"100,0"
18091973,"98,8"
88466776,"95,6"
36539945,..
40634612,"100,0"
62439199,"95,0"
66132676,"95,4"
57942242,"100,0"
80762863,"93,1"
77688926,"98,0"
14508922,"99,0"
69629086,"98,2"
88624631,"87,0"
35390185,..
37358234,"81,5"
31657916,"100,0"
21008461,"98,3"
54606928,"98,0"
53893730,"98,2"
46241804,"80,0"
42573391,"91,7"
64574972,"98,5"
19741742,"92,1"
29032715,"97,8"
45830583,"100,0"
48931433,"99,1"
97270136,"96,6"
19909435,"100,0"
30530571,"98,1"
78839208,"98,5"
96024712,"98,8"
30458073,..
40829056,..
85800840,"97,9"
68920727,"100,0"
27115998,"99,4"
41867682,"100,0"
79516949,"100,0"
65662401,"94,7"
39583059,"92,9"
38645259,"78,1"
96684210,"98,3"
87207941,"98,6"
11673760,"98,1"
46574937,"100,0"
23836342,"98,5"
63791419,"90,5"
39805497,"98,6"
38400227,"92,0"
81619482,"100,0"
83829189,"92,7"
46145886,"100,0"
12395564,"100,0"
90006712,"100,0"
43649848,"95,0"
75344502,"95,0"
84247499,"87,8"
27041885,"84,2"
39149668,"98,6"
97064126,..
32580162,"100,0"
38233622,"95,8"
48722826,"97,5"
73063662,"90,5"
40766349,"96,6"
71571158,"93,8"
53691739,"84,4"
43251309,"100,0"
97596286,"84,5"
67554405,"95,1"
86473502,"78,6"
73944169,"100,0"
98239050,"97,1"
94455820,..
58368956,"97,6"
73567152,"85,7"
61547652,"83,3"
60209222,"96,6"
62104139,"100,0"
87034307,"99,2"
78872213,"98,0"
84286698,"96,2"
62490359,"84,6"
64725297,"89,7"
43362941,"91,3"
23350817,"91,7"
76860623,"98,4"
58191646,"97,9"
80405898,"100,0"
56021320,"93,3"
41358402,"100,0"
63179610,"91,3"
64569393,"90,9"
87262566,"90,2"
64160122,"100,0"
48217580,"100,0"
41844601,"90,0"
51620045,"100,0"
86888278,"94,7"
23457902,"92,9"
27597104,"100,0"
57397381,"89,0"
56947954,"97,5"
72022487,"100,0"
71512894,"100,0"
70969556,"90,0"
28248021,"92,2"
44417214,"93,1"
25025681,"97,1"
88776535,"100,0"
49488344,"92,7"
74408578,"92,5"
71043974,"99,6"
57777751,..
38732602,"91,7"
89807183,"100,0"
86724994,"98,8"
61161774,"99,3"
86158933,"100,0"
14102256,"100,0"
75082280,"85,7"
75914181,"88,7"
39302565,"93,3"
96818167,"100,0"
36072799,"88,5"
61432781,"98,6"
78287294,"100,0"
74316305,"97,1"
39096170,"94,1"
79527481,"99,3"
67300857,"100,0"
99279503,"100,0"
63653488,..
84476205,"100,0"
24544503,"100,0"
25392789,"100,0"
72109637,..
69240218,"97,7"
14057258,..
38460895,"100,0"
31199511,"100,0"
12934438,"100,0"
43313366,"100,0"
86787111,"94,3"
97868185,"100,0"
81551726,"83,3"
77823650,"98,2"
37550979,"90,0"
52634142,"96,8"
76195214,"98,5"
54839753,..
32705515,"98,2"
60214465,"100,0"
70137084,"98,9"
82002016,"98,5"
21901328,"100,0"
23306658,"99,2"
57350392,..
97535124,"100,0"
11102578,"97,1"
69306209,"98,7"
92651253,"81,0"
31740319,"83,8"
10129345,"98,9"
17944628,"99,2"
82826083,"81,3"
94468610,"94,6"
94090461,"100,0"
12954099,"98,7"
80931789,"97,6"
84098842,"100,0"
90473340,"100,0"
26167236,"85,7"
69807202,"97,3"
64648904,"96,1"
75939593,"99,1"
63035915,"81,4"
26324896,"97,8"
56639389,"100,0"
95700485,"100,0"
51449748,"94,2"
28267726,"100,0"
28848709,"70,0"
12613085,"98,0"
53896162,"99,9"
17779637,"98,9"
11185244,"91,4"
56211717,"95,0"
66824652,"95,7"
49168016,"98,3"
32042066,"98,1"
50821167,"100,0"
71929526,"100,0"
92814975,"97,5"
60873719,"98,8"
28085125,"87,5"
28770304,"100,0"
21938183,"100,0"
78986228,.
71472793,"100,0"
64123241,"93,3"
69063711,"90,7"
77609073,"100,0"
35894996,"98,7"
12926770,"92,1"
17119840,"100,0"
68748767,"91,5"
23548714,"93,7"
48593439,"100,0"
91773491,"92,9"
30361243,"100,0"
25596917,"100,0"
65722876,"97,9"
20984584,"63,2"
52129378,"94,5"
65381163,"97,3"
98541468,"94,4"
31155312,"88,0"
25648215,"95,8"
61823258,"100,0"
84424083,"100,0"
39178171,"93,1"
49231191,"89,4"
78231062,"100,0"
79994304,..
10481541,"97,5"
68006362,"95,9"
11608031,"94,1"
86762103,"92,9"
68381790,"97,6"
13006857,"97,0"
76007769,"100,0"
16956086,"94,0"
58187973,"97,5"
88894245,"100,0"
31870541,"98,7"
71160225,"92,0"
67752682,"97,9"
47884009,"100,0"
44672598,"99,3"
75340089,"93,8"
36670439,"96,2"
22220001,"98,3"
31822012,"98,9"
83161201,"100,0"
15100079,..
55421481,..
99356671,"94,1"
16702464,"95,7"
71353314,..
29449669,"98,1"
62855448,"98,1"
36252055,"100,0"
91812793,"98,9"
14355031,"84,4"
72891848,"71,4"
46611859,"94,4"
58907711,"100,0"
68285560,"96,7"
58544422,"100,0"
65150019,"100,0"
31796890,..
22426680,"92,3"
83805032,"100,0"
48862305,"91,4"
32887559,"82,6"
71541108,"100,0"
53832505,"100,0"
47537928,"96,6"
69471748,"94,8"
49750031,"98,0"
76485705,"100,0"
93239262,"98,7"
25745773,"97,1"
99976753,"100,0"
14278480,"91,7"
75575321,"100,0"
28023078,"98,5"
43284031,"98,8"
13963517,"100,0"
24194577,..
26267406,"100,0"
31255918,"100,0"
51955293,"100,0"
57690933,"98,9"
35035671,"94,1"
12130801,"100,0"
51736304,"100,0"
53180719,"97,3"
27489137,"100,0"
15609112,"100,0"
44285075,"100,0"
60424371,"97,1"
95785055,"100,0"
68655578,"96,8"
17062663,"90,9"
68741484,"97,8"
56267421,"100,0"
34990065,"83,9"
37054246,"97,2"
39199869,"100,0"
62216381,"98,0"
31179045,"95,8"
72421673,"89,8"
15763669,..
59655752,"100,0"
88750078,"98,0"
41878314,..
41555549,"97,9"
32003298,"95,8"
22383788,"95,7"
85459854,"100,0"
81876614,"98,3"
18711877,"100,0"
67071618,"100,0"
75324351,"82,9"
61229217,"93,1"
58929357,"100,0"
42517257,"93,8"
70376604,"97,0"
59575030,"100,0"
93503103,"95,5"
18617410,"98,6"
41697930,"92,9"
28025244,"95,6"
17184072,"100,0"
40338843,"97,6"
77440824,"98,7"
71069359,"100,0"
86896907,"100,0"
14292382,"99,1"
51981332,"100,0"
87859089,"94,9"
54764253,"95,7"
98908403,"86,5"
16493131,"97,7"
41119610,"100,0"
83272868,"98,8"
11526364,"94,3"
48304166,"83,0"
24982097,"88,9"
45552626,"99,0"
50906954,.
97104132,"100,0"
16748680,"100,0"
68597767,..
27964873,"86,1"
30706655,"92,5"
65674821,"96,8"
92332557,"97,6"
46332927,"100,0"
78690637,"96,1"
24653673,"100,0"
38048202,"98,4"
90990441,"87,5"
86319615,"100,0"
87303004,"94,6"
97835550,"90,9"
22446331,"86,5"
26671095,"100,0"
42911621,"99,0"
40575001,"96,5"
75027822,"100,0"
26508763,"97,4"
14504503,"96,2"
21850904,"100,0"
65320354,"99,2"
77544055,"100,0"
49112879,"98,0"
30279258,"97,2"
16198647,"97,2"
12496135,..
76903284,"99,4"
68649663,"89,2"
43623146,..
49141105,"88,5"
15870428,"96,6"
26646080,"100,0"
26750052,"100,0"
18974693,"100,0"
26996566,"100,0"
27704246,"99,4"
81997762,"93,4"
28967085,..
69747871,..
70119254,"91,7"
31151740,"100,0"
79346084,"99,5"
34222422,"86,7"
84230226,..
42060237,"97,7"
89816391,"98,4"
14448619,"99,1"
12546590,"100,0"
43565270,"100,0"
77176811,"100,0"
52791537,"100,0"
85152591,"100,0"
85819857,"100,0"
40600798,"98,5"
52942981,"100,0"
54117171,"100,0"
48120273,"100,0"
33233228,..
94167577,"96,9"
27023528,"93,6"
53903798,"92,4"
85782695,"84,6"
98815582,"97,3"
97770837,"85,5"
21312503,"100,0"
69650864,"100,0"
59581397,"95,8"
14926020,"89,5"
41938272,"100,0"
29423248,"94,0"
76054399,"93,9"
33132452,"90,2"
56942970,..
60142020,..
70811222,..
17911161,"96,4"
35084976,"96,0"
25525759,.
77632411,"98,8"
56653353,"97,9"
49068301,"100,0"
59898194,"94,1"
38195284,"96,9"
97510495,"96,4"
89461767,"96,0"
94717858,"99,1"
53760158,"100,0"
78422467,"99,3"
37802196,..
38683336,.
36288955,"99,2"
74812809,"100,0"
88839172,"100,0"
48412612,"95,7"
95618280,"94,3"
75075402,"99,1"
26326048,"93,3"
37839488,"98,2"
46256929,"84,3"
83374651,"95,8"
59796774,"100,0"
17675502,"76,3"
75600007,"92,9"
73812226,"93,3"
30762346,..
82964090,"98,8"
88955893,"99,2"
15278518,"98,6"
15390992,"99,2"
63943560,"78,7"
85516596,"88,8"
31998226,..
38236800,"81,3"
16784385,"100,0"
59026584,"100,0"
79829846,"90,5"
89963319,..
24339566,"100,0"
20061769,"100,0"
65458415,..
95154882,"78,6"
52333875,"95,4"
24663703,..
28519815,"98,1"
65666808,"96,7"
69543519,"100,0"
24397215,"88,6"
30677562,"92,5"
85054102,"90,5"
87274273,"93,8"
89693952,.
24759907,"73,8"
78433202,"98,3"
41631104,"100,0"
35366805,"96,4"
31315191,"100,0"
80357110,"87,0"
42775003,"100,0"
56670842,"100,0"
89370947,"99,2"
18451445,..
48555205,"96,2"
31313926,"100,0"
30312720,"100,0"
32116280,"100,0"
57143976,"100,0"
93367005,"95,7"
53175499,"100,0"
64388538,"99,4"
52153758,"100,0"
16501673,"97,4"
26298615,"93,5"
22116645,"100,0"
99755443,"99,6"
30167976,"100,0"
50104466,"100,0"
28004794,..
32071849,"100,0"
79845033,"100,0"
41099519,"96,0"
59386837,"94,6"
21627442,"100,0"
17276047,"92,5"
73217812,"63,2"
21382451,"98,8"
48244956,"92,7"
36769815,"100,0"
16931486,"90,5"
92489953,"96,3"
43873969,"96,8"
55825382,"89,5"
19306558,"84,0"
35301145,"96,3"
24993048,"100,0"
70132092,"94,9"
65034473,..
13084253,"98,0"
32321364,"90,9"
59942080,"97,5"
66273269,"97,5"
82888663,"94,9"
11275959,"98,8"
58518163,"97,5"
50615280,"100,0"
19035583,"100,0"
27993549,"100,0"
37912396,"100,0"
45593337,"97,4"
90312942,"95,2"
10226870,"100,0"
19839859,"88,5"
80280597,..
67628478,"100,0"
37517404,"100,0"
29159460,"100,0"
32057701,"100,0"
43601850,"100,0"
30615080,"95,7"
89630851,"97,7"
25178582,"100,0"
70543431,"100,0"
23476801,..
86351879,"93,1"
56041144,"86,8"
14586562,..
74322969,"92,9"
90260899,"100,0"
69302313,"87,0"
31057219,"100,0"
27079521,"100,0"
33572033,"93,8"
64579522,"88,7"
65234368,"100,0"
34381901,"100,0"
55150847,"94,0"
90076461,"93,9"
96414537,"93,5"
53069733,"100,0"
99394620,"100,0"
95368476,"96,6"
14853321,"96,1"
76448076,"97,6"
31537066,"96,7"
86488203,"100,0"
25156286,"94,3"
28081446,"95,7"
21400668,"92,9"
92949043,"100,0"
92818240,"91,9"
84329061,"98,5"
71969230,"95,2"
91048178,"97,7"
82718660,..
76942525,"96,2"
12399380,"100,0"
31486865,"98,8"
97265732,"100,0"
10373112,..
61720981,"97,2"
25698509,"97,4"
50424828,"93,1"
82931004,"100,0"
83584125,"100,0"
95024660,"98,6"
32263814,"100,0"
16496466,"100,0"
12075195,"100,0"
62300682,"94,7"
47393891,"97,3"
48414975,"100,0"
65265211,"89,7"
11533776,"93,3"
47108751,..
97191332,"96,6"
71938440,"100,0"
28829503,"95,6"
22811839,"85,2"
33205596,"100,0"
99622695,..
19930101,"91,2"
60727136,"93,3"
45132264,"75,0"
61647360,..
98651664,"100,0"
33657492,"94,8"
61622991,"100,0"
66644568,"97,2"
93659517,"100,0"
79309485,"100,0"
61175914,"94,1"
73316818,"100,0"
37078868,..
27859889,"92,3"
16130958,"100,0"
29161632,..
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"100,0"
63451147,"83,3"
51131594,"85,7"
89680395,"100,0"
53696633,"100,0"
27440210,"100,0"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"100,0"
17812651,"100,0"
23544320,"99,4"
57668673,"97,7"
69040241,"94,7"
63993414,"100,0"
49136871,..
91905819,"83,3"
20855811,"96,4"
54882637,"100,0"
53923398,"92,7"
74560191,"100,0"
47844862,"98,8"
22239675,"95,2"
72984079,"100,0"
36480690,"96,1"
24787883,"90,5"
32995170,"100,0"
52048443,"91,3"
61674097,"100,0"
32550660,"98,9"
93488613,"100,0"
45600034,"90,9"
59599256,"98,0"
69865450,"92,0"
31112935,"86,7"
26957025,"100,0"
90509211,"90,0"
43277545,"89,3"
37316242,"97,7"
20173336,"93,9"
49872493,"100,0"
39147056,"86,8"
11953769,"91,7"
28646435,"84,0"
50393060,"95,3"
85788659,"68,9"
95340745,"100,0"
59521477,"97,2"
92442684,"93,3"
66095163,"82,4"
38544187,"93,6"
54599691,"97,4"
54004368,"100,0"
54467211,"96,7"
23517683,"100,0"
31975673,"99,6"
82251333,"98,6"
99864908,"98,1"
27106031,"97,2"
59463950,"100,0"
63931325,"100,0"
57391913,"94,7"
75374280,"93,6"
46148350,"95,5"
50133877,"96,3"
49868916,"97,8"
74919147,"96,8"
90240730,"96,1"
84908877,"90,3"
78389879,"100,0"
24277564,"97,1"
88956420,..
44412461,"99,5"
34002355,"82,1"
36355200,"96,5"
96920524,"97,1"
18217765,"100,0"
60919765,..
14677676,"69,7"
96152872,"100,0"
77835341,"100,0"
70803636,"98,3"
49576295,"100,0"
66028861,"100,0"
23797825,"94,6"
45293715,"95,5"
44738639,"87,5"
77712952,"88,7"
92009807,"74,4"
10433896,"100,0"
10342448,"78,3"
43154449,"97,4"
49170638,"95,3"
46379730,"94,9"
25379974,"100,0"
98032567,..
96194948,"77,8"
25955541,"93,8"
88025221,"99,7"
18042101,"100,0"
14799321,"96,6"
56041699,"97,1"
45111086,"100,0"
70955448,"100,0"
68824244,"98,1"
90685868,"100,0"
24501884,"100,0"
46707989,"100,0"
46986216,"97,0"
67924816,"98,2"
92805465,"98,9"
56084099,"97,4"
80711021,"96,8"
17648596,"94,5"
16720048,"95,5"
13960635,"96,2"
39341381,"91,7"
61176909,"100,0"
43479922,"100,0"
60088179,"98,4"
28391147,"98,5"
29209307,"100,0"
21778322,"98,7"
31380193,"100,0"
90290154,"96,7"
25847233,"91,5"
62612992,"95,8"
85485803,"97,2"
92816527,"87,2"
16848652,"95,2"
88429477,"91,7"
94975733,"98,5"
56802300,"95,2"
15149235,"98,7"
77379848,..
13981977,"94,4"
24538846,"94,3"
36886750,"88,9"
67422309,"88,6"
67058407,"97,1"
34421265,"84,1"
15791044,"97,5"
65392939,"100,0"
98696836,"99,1"
82160887,"98,1"
23175129,"94,4"
64908550,"100,0"
77358716,"98,8"
49739986,"98,6"
29225010,"100,0"
92192566,"94,5"
56886667,"99,4"
33249781,"90,4"
64648566,"94,7"
18691102,"84,6"
70302356,"100,0"
65421426,"99,4"
62394916,"100,0"
67908927,"100,0"
72071234,"100,0"
24349146,"96,7"
83605345,"95,2"
15933512,"98,6"
12198363,..
47692481,"80,4"
64693272,"96,3"
18072172,"100,0"
65833454,"96,2"
85188855,"78,3"
11341077,"100,0"
39528347,"94,4"
34988313,"100,0"
85473846,"97,3"
29744774,..
89690587,"97,9"
28045567,"98,7"
20768651,"100,0"
32239920,"86,2"
98781765,"92,8"
38880984,"96,8"
28872974,"100,0"
87112995,"89,3"
18686599,"100,0"
93779220,"96,2"
77797484,"91,2"
53279140,"89,4"
80785976,"94,6"
47559319,"100,0"
21532545,"91,3"
56187883,"80,9"
20752831,"98,2"
51023367,"100,0"
34739511,"100,0"
95069937,"100,0"
52690153,"100,0"
74776778,"94,6"
18345915,"100,0"
68229719,"96,6"
61004230,"95,9"
71262305,"98,5"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"93,9"
82840198,"98,0"
18208087,"100,0"
89982804,..
19464342,"90,9"
60743463,"100,0"
32960825,"100,0"
43609520,"80,0"
97968599,"100,0"
91748148,"98,9"
42218661,"100,0"
74434644,"98,4"
42022406,"96,4"
65192707,"100,0"
43634528,"100,0"
36263479,"100,0"
56679384,"97,4"
30538202,"100,0"
19150273,"90,9"
69018222,"96,1"
12889940,"97,2"
16554575,.
34076477,"99,3"
54896448,"100,0"
64284020,..
53400472,"95,0"
97758137,"98,3"
26334561,"98,9"
40386043,"97,0"
59483268,"94,9"
33685428,"100,0"
32879845,"100,0"
88573795,..
20699742,"100,0"
21663998,"100,0"
20595770,"97,1"
82814120,"100,0"
45164827,"100,0"
10924758,"94,6"
34153869,"100,0"
88259298,"100,0"
17846181,"97,1"
75082798,"94,9"
23555409,"97,5"
